Id,age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,y
1032,49,management,married,tertiary,no,378.0,yes,no,cellular,may,230,1,5000,0,no
1033,60,admin.,married,secondary,no,39.0,yes,yes,cellular,may,208,1,5000,0,no
1034,59,blue-collar,married,secondary,no,0.0,yes,no,cellular,may,226,1,5000,0,no
1035,51,management,married,tertiary,no,10635.0,yes,no,cellular,may,336,1,5000,0,no
1036,57,technician,divorced,secondary,no,63.0,yes,no,cellular,may,242,1,5000,0,no
1037,25,blue-collar,married,secondary,no,-7.0,yes,no,cellular,may,365,1,5000,0,no
1038,53,technician,married,secondary,no,-3.0,no,no,cellular,may,1666,1,5000,0,no
1039,36,admin.,divorced,secondary,no,506.0,yes,no,cellular,may,577,1,5000,0,no
1040,37,admin.,single,secondary,no,0.0,yes,no,cellular,may,137,1,5000,0,no
1041,44,services,divorced,secondary,no,2586.0,yes,no,cellular,may,160,1,5000,0,no
1042,50,management,married,secondary,no,49.0,yes,no,cellular,may,180,2,5000,0,no
1043,60,blue-collar,married,secondary,no,104.0,yes,no,cellular,may,22,1,5000,0,no
1044,54,retired,married,secondary,no,529.0,yes,no,cellular,may,1492,1,5000,0,no
1045,58,retired,married,secondary,no,96.0,yes,no,cellular,may,616,1,5000,0,no
1046,36,admin.,single,primary,no,-171.0,yes,no,cellular,may,242,1,5000,0,no
1047,58,self-employed,married,tertiary,no,-364.0,yes,no,cellular,may,355,1,5000,0,no
1048,44,technician,married,secondary,no,0.0,yes,no,cellular,may,225,2,5000,0,no
1049,55,technician,divorced,secondary,no,0.0,no,no,cellular,may,160,1,5000,0,no
1050,29,management,single,tertiary,no,0.0,yes,no,cellular,may,363,1,5000,0,no
1051,54,blue-collar,married,secondary,no,1291.0,yes,no,cellular,may,266,1,5000,0,no
1052,48,management,divorced,tertiary,no,-244.0,yes,no,cellular,may,253,1,5000,0,no
1053,32,management,married,tertiary,no,0.0,yes,no,cellular,may,179,1,5000,0,no
1062,53,technician,divorced,secondary,no,989.0,yes,no,cellular,may,812,1,5000,0,no
1063,57,blue-collar,married,primary,no,249.0,yes,no,cellular,may,164,1,5000,0,no
1064,33,services,married,secondary,no,790.0,yes,no,cellular,may,391,1,5000,0,no
1065,49,blue-collar,married,secondary,no,154.0,yes,no,cellular,may,357,1,5000,0,no
1066,51,management,married,tertiary,no,6530.0,yes,no,cellular,may,91,1,5000,0,no
1067,60,retired,married,tertiary,no,100.0,no,no,cellular,may,528,1,5000,0,no
1068,59,management,divorced,tertiary,no,59.0,yes,no,cellular,may,273,1,5000,0,no
1069,55,technician,married,secondary,no,1205.0,yes,no,cellular,may,158,2,5000,0,no
1070,35,blue-collar,single,secondary,no,12223.0,yes,yes,cellular,may,177,1,5000,0,no
1071,57,blue-collar,married,secondary,no,5935.0,yes,yes,cellular,may,258,1,5000,0,no
1072,31,services,married,secondary,no,25.0,yes,yes,cellular,may,172,1,5000,0,no
1073,54,management,married,secondary,no,282.0,yes,yes,cellular,may,154,1,5000,0,no
1074,55,blue-collar,married,primary,no,23.0,yes,no,cellular,may,291,1,5000,0,no
1075,43,technician,married,secondary,no,1937.0,yes,no,cellular,may,181,1,5000,0,no
1076,53,technician,married,secondary,no,384.0,yes,no,cellular,may,176,1,5000,0,no
1077,44,blue-collar,married,secondary,no,582.0,no,yes,cellular,may,211,1,5000,0,no
1078,55,services,divorced,secondary,no,91.0,no,no,cellular,may,349,1,5000,0,no
1079,49,services,divorced,secondary,no,0.0,yes,yes,cellular,may,272,1,5000,0,no
1080,55,services,divorced,secondary,yes,1.0,yes,no,cellular,may,208,1,5000,0,no
1081,45,admin.,single,secondary,no,206.0,yes,no,cellular,may,193,1,5000,0,no
1082,47,services,divorced,secondary,no,164.0,no,no,cellular,may,212,1,5000,0,no
1083,42,technician,single,secondary,no,690.0,yes,no,cellular,may,20,1,5000,0,no
1084,59,admin.,married,secondary,no,2343.0,yes,no,cellular,may,1042,1,5000,0,yes
1085,46,self-employed,married,tertiary,no,137.0,yes,yes,cellular,may,246,1,5000,0,no
1086,51,blue-collar,married,primary,no,173.0,yes,no,cellular,may,529,2,5000,0,no
1087,56,admin.,married,secondary,no,45.0,no,no,cellular,may,1467,1,5000,0,yes
1088,41,technician,married,secondary,no,1270.0,yes,no,cellular,may,1389,1,5000,0,yes
1089,46,management,divorced,secondary,no,16.0,yes,yes,cellular,may,188,2,5000,0,no
1090,57,retired,married,secondary,no,486.0,yes,no,cellular,may,180,2,5000,0,no
1091,42,management,single,secondary,no,50.0,no,no,cellular,may,48,1,5000,0,no
1092,30,technician,married,secondary,no,152.0,yes,yes,cellular,may,213,2,5000,0,no
1093,60,admin.,married,secondary,no,290.0,yes,no,cellular,may,583,1,5000,0,no
1094,60,blue-collar,married,secondary,no,54.0,yes,no,cellular,may,221,1,5000,0,no
1095,57,entrepreneur,divorced,secondary,no,-37.0,no,no,cellular,may,173,1,5000,0,no
1096,36,management,married,tertiary,no,101.0,yes,yes,cellular,may,426,1,5000,0,no
1097,55,blue-collar,married,secondary,no,383.0,no,no,cellular,may,287,1,5000,0,no
1098,60,retired,married,tertiary,no,81.0,yes,no,cellular,may,101,1,5000,0,no
1099,39,technician,married,secondary,no,0.0,yes,no,cellular,may,203,1,5000,0,no
1100,46,management,married,tertiary,no,229.0,yes,no,cellular,may,197,1,5000,0,no
1101,44,blue-collar,married,secondary,no,-674.0,yes,no,cellular,may,257,1,5000,0,no
1102,53,blue-collar,married,primary,no,90.0,no,no,cellular,may,124,1,5000,0,no
1103,52,blue-collar,married,primary,no,128.0,yes,no,cellular,may,229,1,5000,0,no
1104,59,blue-collar,married,primary,no,179.0,yes,no,cellular,may,55,3,5000,0,no
1105,27,technician,single,tertiary,no,0.0,yes,no,cellular,may,400,1,5000,0,no
1106,44,blue-collar,married,secondary,no,54.0,yes,no,cellular,may,197,1,5000,0,no
1107,47,technician,married,tertiary,no,151.0,yes,no,cellular,may,190,1,5000,0,no
1108,34,admin.,married,secondary,no,61.0,no,yes,cellular,may,21,1,5000,0,no
1109,59,retired,single,secondary,no,30.0,yes,no,cellular,may,514,1,5000,0,no
1110,45,management,married,tertiary,no,523.0,yes,no,cellular,may,849,2,5000,0,no
1111,29,services,divorced,secondary,no,31.0,yes,no,cellular,may,194,1,5000,0,no
1112,46,technician,divorced,secondary,no,79.0,no,no,cellular,may,144,1,5000,0,no
1113,56,self-employed,married,primary,no,-34.0,yes,yes,cellular,may,212,2,5000,0,no
1114,36,blue-collar,married,primary,no,448.0,yes,no,cellular,may,286,1,5000,0,no
1115,59,retired,divorced,primary,no,81.0,yes,no,cellular,may,107,1,5000,0,no
1116,44,blue-collar,married,secondary,no,144.0,yes,no,cellular,may,247,2,5000,0,no
1117,41,admin.,married,secondary,no,351.0,yes,no,cellular,may,518,1,5000,0,no
1118,33,management,single,tertiary,no,-67.0,yes,no,cellular,may,364,1,5000,0,no
1119,59,management,divorced,tertiary,no,262.0,no,no,cellular,may,178,1,5000,0,no
1120,57,technician,married,primary,no,0.0,no,no,cellular,may,98,1,5000,0,no
1121,56,technician,divorced,secondary,no,56.0,yes,no,cellular,may,439,1,5000,0,no
1122,51,blue-collar,married,secondary,no,26.0,yes,no,cellular,may,79,1,5000,0,no
1123,34,admin.,married,secondary,no,3.0,yes,no,cellular,may,120,3,5000,0,no
1124,43,services,married,secondary,no,41.0,yes,yes,cellular,may,127,2,5000,0,no
1125,52,technician,married,tertiary,no,7.0,no,yes,cellular,may,175,1,5000,0,no
1126,33,technician,single,secondary,no,105.0,yes,no,cellular,may,262,2,5000,0,no
1127,29,admin.,single,secondary,no,818.0,yes,yes,cellular,may,61,1,5000,0,no
1128,34,services,married,secondary,no,-16.0,yes,yes,cellular,may,78,1,5000,0,no
1129,31,blue-collar,married,secondary,no,0.0,yes,no,cellular,may,143,1,5000,0,no
1130,55,services,married,secondary,no,2476.0,yes,no,cellular,may,579,1,5000,0,yes
1131,55,management,married,secondary,no,1185.0,no,no,cellular,may,677,1,5000,0,no
1132,32,admin.,single,secondary,no,217.0,yes,no,cellular,may,345,1,5000,0,no
1133,38,technician,single,secondary,no,1685.0,yes,no,cellular,may,185,1,5000,0,no
1134,55,admin.,single,secondary,no,802.0,yes,yes,cellular,may,100,2,5000,0,no
1135,28,unemployed,single,tertiary,no,0.0,yes,no,cellular,may,125,2,5000,0,no
1136,23,blue-collar,married,secondary,no,94.0,yes,no,cellular,may,193,1,5000,0,no
1137,32,technician,single,secondary,no,0.0,yes,no,cellular,may,136,1,5000,0,no
1138,43,services,single,secondary,no,0.0,no,no,cellular,may,73,1,5000,0,no
1139,32,blue-collar,married,secondary,no,517.0,yes,no,cellular,may,528,1,5000,0,no
1140,46,blue-collar,married,secondary,no,265.0,yes,no,cellular,may,541,1,5000,0,no
1141,53,housemaid,divorced,primary,no,947.0,yes,no,cellular,may,163,1,5000,0,no
1142,34,self-employed,single,secondary,no,3.0,yes,no,cellular,may,301,1,5000,0,no
1143,57,unemployed,married,tertiary,no,42.0,no,no,cellular,may,46,1,5000,0,no
1144,37,blue-collar,married,secondary,no,37.0,yes,no,cellular,may,204,1,5000,0,no
1145,59,blue-collar,married,secondary,no,57.0,yes,no,cellular,may,98,1,5000,0,no
1146,33,services,married,secondary,no,22.0,yes,no,cellular,may,71,1,5000,0,no
1147,56,blue-collar,divorced,primary,no,8.0,yes,no,cellular,may,157,2,5000,0,no
1148,48,unemployed,married,secondary,no,293.0,yes,no,cellular,may,243,1,5000,0,no
1149,43,services,married,primary,no,3.0,yes,no,cellular,may,186,2,5000,0,no
1150,54,blue-collar,married,primary,no,348.0,yes,no,cellular,may,579,2,5000,0,no
1151,51,blue-collar,married,secondary,no,-19.0,yes,no,cellular,may,163,2,5000,0,no
1152,26,student,single,secondary,no,0.0,yes,no,cellular,may,610,2,5000,0,no
1153,40,management,married,tertiary,no,-4.0,yes,no,cellular,may,2033,1,5000,0,no
1154,39,management,married,secondary,no,18.0,yes,no,cellular,may,85,1,5000,0,no
1155,50,technician,married,primary,no,139.0,no,no,cellular,may,114,2,5000,0,no
1156,41,services,married,secondary,no,0.0,yes,no,cellular,may,114,2,5000,0,no
1157,51,blue-collar,married,secondary,no,1883.0,yes,no,cellular,may,57,1,5000,0,no
1158,60,retired,divorced,secondary,no,216.0,yes,no,cellular,may,238,1,5000,0,no
1159,52,blue-collar,married,secondary,no,782.0,yes,no,cellular,may,93,3,5000,0,no
1160,48,blue-collar,married,secondary,no,904.0,yes,no,cellular,may,128,2,5000,0,no
1161,48,services,married,secondary,no,1705.0,yes,no,cellular,may,107,1,5000,0,no
1162,39,technician,single,tertiary,no,47.0,yes,no,cellular,may,181,1,5000,0,no
1163,47,services,single,secondary,no,176.0,yes,no,cellular,may,303,2,5000,0,no
1164,40,blue-collar,married,secondary,no,1225.0,yes,no,cellular,may,558,5,5000,0,no
1165,45,technician,married,secondary,no,86.0,yes,no,cellular,may,270,1,5000,0,no
1166,26,admin.,single,secondary,no,82.0,yes,no,cellular,may,228,1,5000,0,no
1167,52,management,married,tertiary,no,271.0,yes,no,cellular,may,99,1,5000,0,no
1168,54,technician,married,secondary,no,1378.0,yes,no,cellular,may,240,1,5000,0,no
1169,54,admin.,married,tertiary,no,184.0,no,no,cellular,may,673,2,5000,0,yes
1170,50,blue-collar,married,primary,no,0.0,no,no,cellular,may,233,3,5000,0,no
1171,35,blue-collar,married,secondary,no,0.0,yes,no,cellular,may,1056,1,5000,0,no
1172,44,services,married,secondary,no,1357.0,yes,yes,cellular,may,250,1,5000,0,no
1173,53,entrepreneur,married,secondary,no,19.0,yes,no,cellular,may,252,1,5000,0,no
1174,35,retired,single,primary,no,434.0,no,no,cellular,may,138,1,5000,0,no
1175,60,admin.,divorced,secondary,no,92.0,yes,no,cellular,may,130,1,5000,0,no
1176,53,admin.,divorced,secondary,no,1151.0,yes,no,cellular,may,412,1,5000,0,no
1177,48,unemployed,married,secondary,no,41.0,yes,no,cellular,may,179,2,5000,0,no
1178,34,technician,married,secondary,no,51.0,yes,no,cellular,may,19,2,5000,0,no
1179,54,services,married,secondary,no,214.0,yes,no,cellular,may,458,2,5000,0,no
1180,51,management,married,secondary,no,1161.0,yes,no,cellular,may,717,1,5000,0,no
1181,31,services,married,tertiary,no,37.0,yes,no,cellular,may,313,1,5000,0,no
1182,35,technician,divorced,secondary,no,787.0,yes,no,cellular,may,683,2,5000,0,no
1183,35,services,married,secondary,no,59.0,yes,no,cellular,may,1077,1,5000,0,no
1184,38,technician,married,secondary,no,253.0,yes,no,cellular,may,416,1,5000,0,no
1185,36,admin.,married,tertiary,no,211.0,yes,no,cellular,may,146,2,5000,0,no
1186,58,retired,married,primary,no,235.0,yes,no,cellular,may,167,1,5000,0,no
1187,40,services,divorced,secondary,no,4384.0,yes,no,cellular,may,315,1,5000,0,no
1188,54,management,married,secondary,no,4080.0,no,no,cellular,may,140,1,5000,0,no
1189,34,blue-collar,single,secondary,no,53.0,yes,yes,cellular,may,346,1,5000,0,no
1190,31,management,single,tertiary,no,0.0,yes,no,cellular,may,562,1,5000,0,no
1191,51,retired,married,secondary,no,2127.0,yes,no,cellular,may,172,1,5000,0,no
1192,33,management,married,tertiary,no,377.0,yes,no,cellular,may,217,1,5000,0,no
1193,55,management,married,tertiary,no,73.0,yes,no,cellular,may,142,2,5000,0,no
1194,42,admin.,married,secondary,no,445.0,yes,no,cellular,may,67,1,5000,0,no
1195,34,blue-collar,married,secondary,no,243.0,yes,no,cellular,may,291,1,5000,0,no
1196,33,blue-collar,single,secondary,no,307.0,yes,no,cellular,may,309,2,5000,0,no
1197,38,services,married,secondary,no,155.0,yes,no,cellular,may,248,1,5000,0,no
1198,50,technician,divorced,tertiary,no,173.0,no,yes,cellular,may,98,1,5000,0,no
1199,43,management,married,tertiary,no,400.0,yes,no,cellular,may,256,1,5000,0,no
1200,61,blue-collar,divorced,primary,no,1428.0,yes,no,cellular,may,82,2,5000,0,no
1201,47,admin.,married,secondary,no,219.0,yes,no,cellular,may,577,1,5000,0,no
1202,48,self-employed,married,tertiary,no,7.0,yes,no,cellular,may,286,1,5000,0,no
1203,44,blue-collar,married,secondary,no,575.0,yes,no,cellular,may,477,1,5000,0,no
1204,35,student,single,secondary,no,298.0,yes,no,cellular,may,611,2,5000,0,no
1205,35,services,married,secondary,no,0.0,yes,no,cellular,may,471,1,5000,0,no
1206,50,services,married,secondary,no,5699.0,yes,no,cellular,may,381,2,5000,0,no
1207,41,management,married,tertiary,no,176.0,yes,yes,cellular,may,42,1,5000,0,no
1208,41,management,married,tertiary,no,517.0,yes,no,cellular,may,251,1,5000,0,no
1209,39,services,single,secondary,no,257.0,yes,no,cellular,may,408,1,5000,0,no
1210,42,retired,married,secondary,no,56.0,yes,no,cellular,may,215,1,5000,0,no
1211,38,blue-collar,married,secondary,no,-390.0,yes,no,cellular,may,287,1,5000,0,no
1212,53,retired,married,secondary,no,330.0,yes,no,cellular,may,216,2,5000,0,no
1213,59,housemaid,divorced,primary,no,195.0,no,no,cellular,may,366,2,5000,0,no
1214,36,services,married,secondary,no,301.0,yes,no,cellular,may,210,1,5000,0,no
1215,54,blue-collar,married,primary,no,-41.0,yes,no,cellular,may,288,1,5000,0,no
1216,40,technician,married,tertiary,no,483.0,yes,no,cellular,may,168,1,5000,0,no
1217,47,blue-collar,married,secondary,no,28.0,no,no,cellular,may,338,2,5000,0,no
1218,53,unemployed,married,secondary,no,13.0,no,no,cellular,may,410,3,5000,0,no
1219,46,housemaid,married,primary,no,965.0,no,no,cellular,may,177,1,5000,0,no
1220,39,management,married,tertiary,no,378.0,yes,yes,cellular,may,127,2,5000,0,no
1221,40,unemployed,married,secondary,no,219.0,yes,no,cellular,may,357,1,5000,0,no
1222,28,blue-collar,married,primary,no,324.0,yes,no,cellular,may,175,1,5000,0,no
1223,35,entrepreneur,divorced,secondary,no,-69.0,yes,no,cellular,may,300,1,5000,0,no
1224,55,retired,married,secondary,no,0.0,no,yes,cellular,may,136,1,5000,0,no
1225,43,technician,divorced,secondary,no,205.0,yes,no,cellular,may,1419,1,5000,0,no
1226,48,blue-collar,married,primary,no,278.0,yes,no,cellular,may,125,2,5000,0,no
1227,58,management,married,secondary,no,1065.0,yes,no,cellular,may,213,3,5000,0,no
1228,33,management,single,tertiary,no,34.0,yes,no,cellular,may,27,1,5000,0,no
1229,36,blue-collar,married,secondary,no,1033.0,no,no,cellular,may,238,2,5000,0,no
1230,53,services,divorced,secondary,no,1467.0,yes,no,cellular,may,124,1,5000,0,no
1231,47,blue-collar,married,primary,no,-12.0,yes,no,cellular,may,18,1,5000,0,no
1232,31,services,married,secondary,no,388.0,yes,no,cellular,may,730,2,5000,0,no
1233,57,entrepreneur,married,secondary,no,294.0,yes,no,cellular,may,746,2,5000,0,no
1234,53,blue-collar,married,secondary,no,1827.0,no,no,cellular,may,121,1,5000,0,no
1235,55,blue-collar,married,primary,no,627.0,yes,no,cellular,may,247,1,5000,0,no
1236,45,blue-collar,married,primary,no,25.0,yes,no,cellular,may,40,1,5000,0,no
1237,53,admin.,divorced,secondary,no,315.0,yes,no,cellular,may,181,2,5000,0,no
1238,37,blue-collar,married,primary,no,0.0,yes,no,cellular,may,79,1,5000,0,no
1239,44,admin.,divorced,secondary,no,66.0,yes,no,cellular,may,206,1,5000,0,no
1240,49,blue-collar,divorced,primary,no,-9.0,yes,yes,cellular,may,389,1,5000,0,no
1241,46,technician,married,secondary,no,349.0,yes,yes,cellular,may,127,1,5000,0,no
1242,43,entrepreneur,married,secondary,no,100.0,yes,no,cellular,may,702,1,5000,0,no
1243,38,admin.,married,secondary,no,0.0,no,no,cellular,may,151,1,5000,0,no
1244,43,technician,married,secondary,no,434.0,yes,no,cellular,may,117,1,5000,0,no
1245,49,management,married,tertiary,no,3237.0,yes,no,cellular,may,232,3,5000,0,no
1246,42,management,married,secondary,no,275.0,no,no,cellular,may,408,2,5000,0,no
1247,22,blue-collar,single,secondary,no,0.0,yes,no,cellular,may,179,2,5000,0,no
1248,40,management,married,tertiary,no,207.0,yes,no,cellular,may,39,1,5000,0,no
1249,39,blue-collar,married,secondary,no,483.0,yes,no,cellular,may,282,1,5000,0,no
1250,51,services,married,secondary,no,2248.0,yes,no,cellular,may,714,2,5000,0,no
1251,49,admin.,married,secondary,no,428.0,yes,no,cellular,may,50,1,5000,0,no
1252,53,blue-collar,married,secondary,no,0.0,yes,yes,cellular,may,181,1,5000,0,no
1253,34,services,single,secondary,no,0.0,yes,no,cellular,may,142,1,5000,0,no
1254,33,technician,divorced,secondary,no,140.0,yes,no,cellular,may,227,1,5000,0,no
1255,50,management,single,tertiary,no,297.0,yes,no,cellular,may,119,1,5000,0,no
1256,39,blue-collar,married,primary,no,279.0,yes,no,cellular,may,361,1,5000,0,no
1257,59,entrepreneur,divorced,secondary,no,901.0,yes,no,cellular,may,73,3,5000,0,no
1258,30,technician,single,secondary,no,2573.0,yes,no,cellular,may,67,2,5000,0,no
1259,36,services,married,secondary,no,143.0,yes,yes,cellular,may,350,1,5000,0,no
1260,40,blue-collar,married,secondary,no,475.0,yes,no,cellular,may,332,2,5000,0,no
1261,53,blue-collar,married,secondary,no,70.0,yes,no,cellular,may,611,2,5000,0,no
1262,34,management,single,tertiary,no,318.0,yes,no,cellular,may,113,2,5000,0,no
1263,37,technician,married,secondary,no,275.0,yes,no,cellular,may,132,1,5000,0,no
1264,42,management,divorced,tertiary,no,742.0,yes,no,cellular,may,58,3,5000,0,no
1265,41,entrepreneur,married,primary,no,236.0,yes,no,cellular,may,151,1,5000,0,no
1266,30,student,single,tertiary,no,25.0,yes,no,cellular,may,89,2,5000,0,no
1267,37,management,single,tertiary,no,600.0,yes,no,cellular,may,152,1,5000,0,no
1268,39,admin.,divorced,secondary,no,-349.0,yes,no,cellular,may,611,2,5000,0,no
1269,41,blue-collar,married,primary,no,183.0,yes,yes,cellular,may,110,2,5000,0,no
1270,40,blue-collar,married,primary,no,0.0,yes,no,cellular,may,463,1,5000,0,no
1271,42,management,single,tertiary,no,0.0,yes,yes,cellular,may,562,2,5000,0,yes
1272,40,blue-collar,divorced,primary,no,0.0,yes,no,cellular,may,962,1,5000,0,no
1273,57,technician,married,secondary,no,1078.0,yes,no,cellular,may,10,4,5000,0,no
1274,56,entrepreneur,divorced,secondary,no,155.0,no,no,cellular,may,118,3,5000,0,no
1275,37,admin.,married,secondary,no,190.0,yes,no,cellular,may,92,2,5000,0,no
1276,59,retired,married,secondary,no,319.0,yes,no,cellular,may,143,3,5000,0,no
1277,39,services,divorced,secondary,no,-185.0,yes,no,cellular,may,189,3,5000,0,no
1278,49,services,married,secondary,no,47.0,no,no,cellular,may,234,2,5000,0,no
1279,38,services,single,secondary,no,570.0,yes,no,cellular,may,75,2,5000,0,no
1280,36,self-employed,married,tertiary,no,19.0,no,no,cellular,may,189,2,5000,0,no
1281,50,blue-collar,married,primary,no,61.0,yes,no,cellular,may,621,3,5000,0,no
1282,41,admin.,married,secondary,no,-62.0,yes,yes,cellular,may,55,2,5000,0,no
1283,54,technician,married,tertiary,no,258.0,no,no,cellular,may,310,4,5000,0,no
1284,58,blue-collar,married,primary,no,76.0,yes,no,cellular,may,156,2,5000,0,no
1285,30,blue-collar,single,secondary,no,0.0,yes,no,cellular,may,5,2,5000,0,no
1286,33,admin.,single,secondary,no,352.0,yes,no,cellular,may,225,2,5000,0,no
1287,47,admin.,married,secondary,no,368.0,yes,no,cellular,may,125,2,5000,0,no
1288,50,technician,single,tertiary,no,339.0,yes,no,cellular,may,2,3,5000,0,no
1289,32,blue-collar,married,secondary,no,1331.0,yes,no,cellular,may,286,2,5000,0,no
1290,40,self-employed,married,secondary,no,672.0,yes,no,cellular,may,164,2,5000,0,no
1291,37,management,married,tertiary,no,58.0,yes,no,cellular,may,98,2,5000,0,no
1292,54,technician,single,secondary,no,447.0,yes,no,cellular,may,742,2,5000,0,no
1293,24,student,single,secondary,no,423.0,yes,no,cellular,may,226,3,5000,0,no
1294,54,management,married,tertiary,no,0.0,no,no,cellular,may,120,2,5000,0,no
1295,34,technician,married,secondary,no,19.0,yes,no,cellular,may,362,4,5000,0,no
1296,56,technician,divorced,primary,no,13.0,yes,no,cellular,may,357,2,5000,0,no
1297,31,blue-collar,single,secondary,no,3.0,yes,no,cellular,may,200,2,5000,0,no
1298,24,student,single,secondary,no,82.0,yes,no,cellular,may,204,2,5000,0,no
1299,42,blue-collar,divorced,primary,no,28.0,yes,no,cellular,may,126,3,5000,0,no
1300,57,technician,married,secondary,no,792.0,yes,no,cellular,may,65,2,5000,0,no
1301,42,blue-collar,married,secondary,no,408.0,yes,no,cellular,may,107,2,5000,0,no
1302,51,admin.,married,secondary,no,531.0,yes,no,cellular,may,267,2,5000,0,no
1303,57,retired,married,secondary,no,211.0,yes,no,cellular,may,248,2,5000,0,no
1304,36,services,single,secondary,no,62.0,yes,no,cellular,may,215,2,5000,0,no
1305,53,services,married,secondary,no,257.0,yes,no,cellular,may,209,2,5000,0,no
1306,50,technician,married,secondary,no,1234.0,yes,no,cellular,may,205,2,5000,0,no
1307,54,management,married,tertiary,no,313.0,yes,no,cellular,may,83,2,5000,0,no
1308,55,blue-collar,married,secondary,no,89.0,yes,no,cellular,may,106,3,5000,0,no
1309,44,blue-collar,married,secondary,no,129.0,yes,yes,cellular,may,189,2,5000,0,no
1310,43,management,married,secondary,no,0.0,yes,no,cellular,may,105,2,5000,0,no
1311,56,admin.,married,secondary,no,353.0,yes,no,cellular,may,106,2,5000,0,no
1312,54,technician,married,secondary,no,851.0,yes,no,cellular,may,108,2,5000,0,no
1313,55,services,divorced,primary,no,96.0,yes,yes,cellular,may,311,2,5000,0,no
1314,37,services,divorced,secondary,no,398.0,yes,yes,cellular,may,214,2,5000,0,no
1315,33,admin.,single,tertiary,no,193.0,no,no,cellular,may,132,2,5000,0,no
1316,46,admin.,married,secondary,no,-358.0,yes,no,cellular,may,358,2,5000,0,no
1317,36,blue-collar,married,secondary,no,539.0,yes,yes,cellular,may,453,2,5000,0,no
1318,51,technician,single,secondary,no,0.0,yes,no,cellular,may,364,2,5000,0,no
1319,40,retired,single,primary,no,0.0,no,no,cellular,may,136,2,5000,0,no
1320,42,blue-collar,married,secondary,no,490.0,yes,no,cellular,may,386,2,5000,0,no
1321,51,blue-collar,married,secondary,no,0.0,yes,no,cellular,may,173,2,5000,0,no
1322,49,blue-collar,married,secondary,no,403.0,yes,no,cellular,may,241,2,5000,0,no
1323,48,management,married,secondary,no,161.0,yes,no,cellular,may,224,3,5000,0,no
1324,32,technician,divorced,tertiary,no,2558.0,no,no,cellular,may,148,2,5000,0,no
1325,31,admin.,single,secondary,no,98.0,yes,no,cellular,may,196,2,5000,0,no
1326,55,management,single,tertiary,no,115.0,no,no,cellular,may,111,4,5000,0,no
1327,40,blue-collar,single,secondary,no,436.0,yes,no,cellular,may,231,3,5000,0,no
1328,47,technician,married,tertiary,no,831.0,yes,no,cellular,may,316,3,5000,0,no
1329,57,technician,married,secondary,no,206.0,yes,no,cellular,may,216,3,5000,0,no
1330,41,blue-collar,married,secondary,no,290.0,yes,no,cellular,may,240,2,5000,0,no
1331,48,blue-collar,married,secondary,no,1.0,no,no,cellular,may,669,3,5000,0,no
1332,42,blue-collar,married,secondary,no,57.0,yes,no,cellular,may,425,2,5000,0,no
